@logo      B&M-General Particle Tracer
numderivs           0
cputime     5.000e+00
position    3.850e-01
            x           y           z         rxy          Bx          By          Bz           G           t           m           q      nmacro      rmacro          ID 
   4.678e-09  5.059e-09  3.850e-01  6.890e-09  3.188e-03  4.137e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.000e+00 
  -2.460e-09  6.281e-10  3.850e-01  2.539e-09 -3.659e-03  4.889e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.000e+00 
   1.222e-08 -4.791e-09  3.850e-01  1.312e-08  5.670e-03 -2.967e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.000e+00 
  -2.983e-10  1.059e-09  3.850e-01  1.101e-09 -1.093e-04  2.608e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.000e+00 
  -7.805e-09 -6.356e-09  3.850e-01  1.007e-08 -4.933e-03 -3.128e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.000e+00 
   5.560e-09  1.113e-09  3.850e-01  5.670e-09  4.418e-03  9.698e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.000e+00 
  -1.221e-08  1.380e-08  3.850e-01  1.843e-08 -4.659e-03  5.110e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.000e+00 
  -1.896e-10 -5.807e-10  3.850e-01  6.109e-10 -5.581e-04 -1.759e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  8.000e+00 
   4.528e-09 -6.397e-09  3.850e-01  7.837e-09  3.234e-03 -4.498e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  9.000e+00 
   1.370e-09  2.987e-09  3.850e-01  3.286e-09  1.697e-03  3.763e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.000e+01 
  -1.355e-08 -1.258e-09  3.850e-01  1.361e-08 -6.628e-03 -6.616e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.100e+01 
   2.090e-09 -1.610e-10  3.850e-01  2.096e-09  3.098e-03 -7.881e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.200e+01 
  -4.557e-09  1.156e-08  3.850e-01  1.243e-08 -1.659e-03  5.898e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.300e+01 
  -3.975e-09 -5.235e-09  3.850e-01  6.573e-09 -3.411e-03 -3.498e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.400e+01 
   1.829e-08  7.354e-09  3.850e-01  1.971e-08  6.450e-03  3.102e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.500e+01 
  -2.118e-10  1.825e-10  3.850e-01  2.796e-10 -1.078e-03  7.347e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.600e+01 
  -1.381e-09 -8.696e-09  3.850e-01  8.805e-09 -4.033e-04 -5.369e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.700e+01 
   2.409e-09 -1.649e-09  3.850e-01  2.920e-09  2.958e-03 -2.566e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.800e+01 
   1.618e-09  1.298e-08  3.850e-01  1.308e-08  1.242e-03  6.412e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.900e+01 
  -1.139e-09 -5.985e-10  3.850e-01  1.287e-09 -2.758e-03 -9.531e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.000e+01 
   1.219e-08  4.243e-10  3.850e-01  1.220e-08  5.985e-03 -1.004e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.100e+01 
  -3.388e-09  5.279e-09  3.850e-01  6.273e-09 -2.286e-03  4.116e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.200e+01 
  -9.159e-09 -1.693e-08  3.850e-01  1.925e-08 -3.622e-03 -6.034e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.300e+01 
   7.052e-10  3.812e-10  3.850e-01  8.016e-10  1.755e-03  1.424e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.400e+01 
  -8.535e-09  4.378e-09  3.850e-01  9.592e-09 -5.315e-03  2.037e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.500e+01 
   1.074e-10 -4.417e-09  3.850e-01  4.418e-09  6.809e-04 -4.276e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.600e+01 
   5.913e-09 -1.343e-08  3.850e-01  1.468e-08  3.061e-03 -6.058e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.700e+01 
   1.265e-09  1.598e-09  3.850e-01  2.038e-09  1.889e-03  2.890e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.800e+01 
  -1.148e-08  1.300e-09  3.850e-01  1.155e-08 -6.254e-03  3.483e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.900e+01 
   6.607e-09 -1.812e-09  3.850e-01  6.851e-09  4.649e-03 -1.990e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.000e+01 
  -4.191e-09  1.906e-08  3.850e-01  1.952e-08 -8.628e-04  7.225e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.100e+01 
  -8.133e-11 -1.107e-10  3.850e-01  1.374e-10 -7.383e-04 -5.533e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.200e+01 
   8.432e-09  2.169e-09  3.850e-01  8.707e-09  5.078e-03  1.535e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.300e+01 
  -2.455e-09  2.544e-09  3.850e-01  3.535e-09 -2.776e-03  2.604e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.400e+01 
  -3.993e-09 -1.461e-08  3.850e-01  1.515e-08 -1.476e-03 -6.296e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.500e+01 
   7.326e-10 -7.716e-10  3.850e-01  1.064e-09  1.786e-03 -2.115e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.600e+01 
   3.036e-09  9.026e-09  3.850e-01  9.523e-09  2.007e-03  5.562e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.700e+01 
  -4.463e-09 -9.400e-10  3.850e-01  4.561e-09 -4.543e-03 -8.145e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.800e+01 
   1.824e-08 -1.719e-09  3.850e-01  1.832e-08  6.873e-03 -1.194e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.900e+01 
  -3.839e-10  6.353e-10  3.850e-01  7.423e-10 -7.117e-04  1.937e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.000e+01 
  -5.609e-09 -8.184e-09  3.850e-01  9.922e-09 -3.599e-03 -4.313e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.100e+01 
   4.044e-09  1.759e-09  3.850e-01  4.410e-09  3.657e-03  2.125e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.200e+01 
  -1.335e-08  9.194e-09  3.850e-01  1.621e-08 -5.832e-03  3.349e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.300e+01 
  -3.018e-10 -2.297e-09  3.850e-01  2.317e-09  9.674e-06 -3.327e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.400e+01 
   9.733e-09 -5.925e-09  3.850e-01  1.139e-08  4.980e-03 -3.686e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.500e+01 
   3.552e-12  5.975e-09  3.850e-01  5.975e-09  5.630e-04  4.940e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.600e+01 
  -1.582e-08 -8.382e-09  3.850e-01  1.790e-08 -6.619e-03 -2.875e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.700e+01 
   4.459e-10  6.639e-11  3.850e-01  4.508e-10  1.595e-03  9.786e-05  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.800e+01 
  -5.508e-09  7.770e-09  3.850e-01  9.524e-09 -3.014e-03  4.557e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.900e+01 
  -1.688e-09 -3.782e-09  3.850e-01  4.142e-09 -1.795e-03 -3.601e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.000e+01 
   1.128e-08  8.847e-09  3.850e-01  1.433e-08  4.787e-03  4.538e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.100e+01 
  -1.482e-09  7.224e-10  3.850e-01  1.649e-09 -2.935e-03  8.691e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.200e+01 
   1.497e-09 -1.107e-08  3.850e-01  1.117e-08  1.411e-03 -5.889e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.300e+01 
   2.491e-09 -4.514e-09  3.850e-01  5.155e-09  2.490e-03 -4.100e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.400e+01 
   8.399e-09  1.427e-08  3.850e-01  1.656e-08  3.413e-03  6.221e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.500e+01 
  -7.723e-10  2.460e-11  3.850e-01  7.726e-10 -2.441e-03 -5.480e-05  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.600e+01 
   1.000e-08 -2.133e-09  3.850e-01  1.023e-08  5.462e-03 -1.852e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.700e+01 
  -1.641e-09  4.580e-09  3.850e-01  4.865e-09 -8.659e-04  4.342e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.800e+01 
  -1.143e-08 -1.225e-08  3.850e-01  1.676e-08 -5.151e-03 -4.519e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.900e+01 
   2.824e-09  8.443e-10  3.850e-01  2.947e-09  3.331e-03  1.297e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.000e+01 
  -1.050e-08  9.445e-09  3.850e-01  1.412e-08 -4.939e-03  3.964e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.100e+01 
  -1.704e-09 -7.693e-09  3.850e-01  7.879e-09 -7.809e-04 -5.081e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.200e+01 
   1.334e-08 -1.250e-08  3.850e-01  1.828e-08  5.148e-03 -5.223e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.300e+01 
   5.674e-12  6.782e-11  3.850e-01  6.806e-11  1.730e-04  6.290e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.400e+01 
  -6.461e-09 -2.082e-09  3.850e-01  6.788e-09 -5.093e-03 -1.327e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.500e+01 
   3.349e-09  4.028e-11  3.850e-01  3.350e-09  3.733e-03 -3.520e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.600e+01 
  -7.038e-09  1.299e-08  3.850e-01  1.477e-08 -2.677e-03  5.850e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.700e+01 
  -6.657e-10 -1.268e-09  3.850e-01  1.432e-09 -1.558e-03 -2.194e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.800e+01 
   9.450e-09  5.196e-09  3.850e-01  1.078e-08  4.838e-03  3.336e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.900e+01 
  -4.474e-09  2.842e-09  3.850e-01  5.300e-09 -4.128e-03  1.960e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.000e+01 
  -1.373e-10 -1.741e-08  3.850e-01  1.741e-08  5.540e-04 -6.922e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.100e+01 
   4.980e-10 -1.511e-10  3.850e-01  5.204e-10  1.659e-03 -1.038e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.200e+01 
  -6.809e-10  8.552e-09  3.850e-01  8.579e-09  2.007e-04  5.575e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.300e+01 
  -3.003e-09 -2.234e-09  3.850e-01  3.742e-09 -3.692e-03 -1.959e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.400e+01 
   1.668e-08  2.415e-09  3.850e-01  1.686e-08  6.631e-03  9.220e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.500e+01 
  -1.507e-09  1.868e-09  3.850e-01  2.400e-09 -2.007e-03  2.573e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.600e+01 
  -4.941e-09 -1.240e-08  3.850e-01  1.335e-08 -2.316e-03 -5.710e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.700e+01 
   4.475e-09  3.971e-09  3.850e-01  5.983e-09  3.302e-03  3.659e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.800e+01 
  -1.727e-08  5.164e-09  3.850e-01  1.803e-08 -7.027e-03  1.505e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.900e+01 
   3.783e-11 -2.670e-10  3.850e-01  2.696e-10  4.497e-04 -1.388e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  8.000e+01 
   2.519e-09 -7.207e-09  3.850e-01  7.635e-09  2.193e-03 -4.960e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  8.100e+01 
   2.066e-09  2.293e-09  3.850e-01  3.087e-09  2.341e-03  3.206e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  8.200e+01 
  -1.322e-08  2.338e-09  3.850e-01  1.343e-08 -6.526e-03  7.037e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  8.300e+01 
   1.539e-09 -3.827e-10  3.850e-01  1.586e-09  2.685e-03 -1.317e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  8.400e+01 
  -2.024e-09  1.090e-08  3.850e-01  1.109e-08 -4.053e-04  6.007e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  8.500e+01 
  -4.173e-09 -3.778e-09  3.850e-01  5.629e-09 -3.946e-03 -2.649e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  8.600e+01 
   1.910e-08  4.274e-09  3.850e-01  1.957e-08  6.862e-03  1.690e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  8.700e+01 
  -7.129e-10  7.846e-10  3.850e-01  1.060e-09 -1.631e-03  1.696e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  8.800e+01 
  -3.274e-09 -1.035e-08  3.850e-01  1.085e-08 -1.594e-03 -5.504e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  8.900e+01 
   2.378e-09 -3.091e-09  3.850e-01  3.900e-09  2.647e-03 -3.487e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  9.000e+01 
   5.639e-09  1.346e-08  3.850e-01  1.460e-08  2.645e-03  6.286e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  9.100e+01 
  -2.043e-09 -2.822e-10  3.850e-01  2.063e-09 -3.486e-03 -4.409e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  9.200e+01 
   1.342e-08 -1.739e-09  3.850e-01  1.354e-08  6.142e-03 -1.397e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  9.300e+01 
  -3.005e-09  6.833e-09  3.850e-01  7.464e-09 -1.508e-03  4.871e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  9.400e+01 
  -1.275e-08 -1.628e-08  3.850e-01  2.068e-08 -4.966e-03 -5.359e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  9.500e+01 
   1.978e-10  7.492e-11  3.850e-01  2.115e-10  1.005e-03  5.168e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  9.600e+01 
  -6.760e-09  5.261e-09  3.850e-01  8.565e-09 -4.492e-03  2.896e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  9.700e+01 
  -5.549e-10 -3.463e-09  3.850e-01  3.507e-09 -1.886e-04 -3.857e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  9.800e+01 
   1.059e-08 -7.474e-09  3.850e-01  1.296e-08  5.016e-03 -4.132e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  9.900e+01 
  -2.562e-12  1.216e-09  3.850e-01  1.216e-09  4.672e-04  2.806e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.000e+02 
  -9.023e-09 -4.246e-09  3.850e-01  9.972e-09 -5.571e-03 -2.086e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.010e+02 
   6.116e-09  3.961e-10  3.850e-01  6.129e-09  4.662e-03  4.326e-05  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.020e+02 
  -1.030e-08  1.604e-08  3.850e-01  1.906e-08 -3.557e-03  6.037e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.030e+02 
  -3.511e-10 -7.971e-10  3.850e-01  8.710e-10 -1.064e-03 -1.884e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.040e+02 
   7.706e-09  5.254e-09  3.850e-01  9.327e-09  4.299e-03  3.674e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.050e+02 
  -3.762e-09  1.935e-09  3.850e-01  4.230e-09 -4.035e-03  1.427e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.060e+02 
   1.404e-09 -1.555e-08  3.850e-01  1.561e-08  1.232e-03 -6.643e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.070e+02 
   7.738e-10 -1.755e-09  3.850e-01  1.918e-09  1.608e-03 -2.985e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.080e+02 
   6.414e-09  9.308e-09  3.850e-01  1.130e-08  3.274e-03  5.300e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.090e+02 
