@logo      B&M-General Particle Tracer
numderivs           0
cputime     6.000e+00
position    3.850e-01
            x           y           z         rxy          Bx          By          Bz           G           t           m           q      nmacro      rmacro          ID 
   2.515e-09  1.824e-08  3.850e-01  1.842e-08  3.190e-03  4.144e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.000e+00 
  -7.626e-09 -3.607e-09  3.850e-01  8.435e-09 -3.663e-03  4.880e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.000e+00 
   8.439e-09 -2.448e-08  3.850e-01  2.589e-08  5.663e-03 -2.977e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.000e+00 
   2.857e-09  2.149e-09  3.850e-01  3.575e-09 -1.073e-04  2.607e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.000e+00 
  -2.044e-08  4.574e-09  3.850e-01  2.094e-08 -4.937e-03 -3.119e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.000e+00 
  -4.490e-09  1.250e-09  3.850e-01  4.661e-09  4.412e-03  9.724e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.000e+00 
  -7.694e-10 -6.648e-09  3.850e-01  6.692e-09 -4.658e-03  5.096e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.000e+00 
   6.701e-10  8.621e-10  3.850e-01  1.092e-09 -5.572e-04 -1.758e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  8.000e+00 
   1.469e-08 -1.745e-08  3.850e-01  2.281e-08  3.236e-03 -4.507e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  9.000e+00 
   3.864e-09  1.095e-08  3.850e-01  1.161e-08  1.701e-03  3.766e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.000e+01 
  -3.472e-08 -5.983e-09  3.850e-01  3.523e-08 -6.640e-03 -6.587e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.100e+01 
  -9.717e-10 -4.136e-09  3.850e-01  4.249e-09  3.096e-03 -7.894e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.200e+01 
   1.368e-08  9.148e-09  3.850e-01  1.646e-08 -1.650e-03  5.892e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.300e+01 
  -8.444e-09  5.585e-09  3.850e-01  1.012e-08 -3.411e-03 -3.491e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.400e+01 
  -3.994e-09  1.890e-08  3.850e-01  1.932e-08  6.441e-03  3.114e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.500e+01 
  -1.711e-10 -6.568e-10  3.850e-01  6.787e-10 -1.079e-03  7.342e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.600e+01 
