@logo      B&M-General Particle Tracer
numderivs           0
cputime     5.000e+00
position    3.850e-01
            x           y           z         rxy          Bx          By          Bz           G           t           m           q      nmacro      rmacro          ID 
   2.415e-08 -1.173e-07  3.850e-01  1.198e-07  3.167e-03  4.066e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.000e+00 
   4.563e-08  3.965e-08  3.850e-01  6.045e-08 -3.623e-03  4.974e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.000e+00 
   4.603e-08  1.772e-07  3.850e-01  1.831e-07  5.735e-03 -2.878e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.000e+00 
  -2.939e-08 -9.208e-09  3.850e-01  3.080e-08 -1.276e-04  2.610e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  4.000e+00 
   1.094e-07 -1.066e-07  3.850e-01  1.528e-07 -4.896e-03 -3.212e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  5.000e+00 
   9.772e-08 -4.042e-10  3.850e-01  9.772e-08  4.467e-03  9.452e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  6.000e+00 
  -1.165e-07  2.016e-07  3.850e-01  2.328e-07 -4.666e-03  5.237e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  7.000e+00 
  -8.093e-09 -1.375e-08  3.850e-01  1.595e-08 -5.657e-04 -1.764e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  8.000e+00 
  -8.979e-08  9.634e-08  3.850e-01  1.317e-07  3.210e-03 -4.419e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  9.000e+00 
  -2.185e-08 -7.091e-08  3.850e-01  7.420e-08  1.665e-03  3.729e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.000e+01 
   1.832e-07  4.256e-08  3.850e-01  1.880e-07 -6.511e-03 -6.891e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.100e+01 
   3.005e-08  3.655e-08  3.850e-01  4.732e-08  3.123e-03 -7.756e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.200e+01 
  -1.723e-07  3.291e-08  3.850e-01  1.755e-07 -1.744e-03  5.953e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.300e+01 
   3.762e-08 -1.045e-07  3.850e-01  1.111e-07 -3.414e-03 -3.562e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.400e+01 
   2.225e-07 -1.003e-07  3.850e-01  2.440e-07  6.532e-03  2.991e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.500e+01 
  -5.027e-10  7.875e-09  3.850e-01  7.891e-09 -1.076e-03  7.389e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.600e+01 
  -1.121e-07 -7.853e-08  3.850e-01  1.368e-07 -4.808e-04 -5.378e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.700e+01 
  -1.682e-08  6.525e-08  3.850e-01  6.738e-08  2.965e-03 -2.525e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.800e+01 
  -1.326e-07 -1.263e-07  3.850e-01  1.831e-07  1.134e-03  6.372e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  1.900e+01 
   3.639e-08 -9.927e-09  3.850e-01  3.772e-08 -2.740e-03 -9.679e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.000e+01 
   1.571e-07  7.084e-08  3.850e-01  1.723e-07  6.081e-03 -1.000e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.100e+01 
  -8.604e-08  6.123e-08  3.850e-01  1.056e-07 -2.316e-03  4.167e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.200e+01 
  -2.497e-08 -2.387e-07  3.850e-01  2.401e-07 -3.688e-03 -6.149e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.300e+01 
   1.420e-08 -1.846e-08  3.850e-01  2.329e-08  1.757e-03  1.411e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.400e+01 
   5.214e-08  1.380e-07  3.850e-01  1.475e-07 -5.248e-03  2.093e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.500e+01 
  -8.445e-08 -1.272e-08  3.850e-01  8.540e-08  6.334e-04 -4.258e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.600e+01 
  -1.757e-07  9.057e-08  3.850e-01  1.976e-07  2.991e-03 -5.955e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.700e+01 
   1.477e-09 -5.261e-08  3.850e-01  5.263e-08  1.875e-03  2.861e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.800e+01 
   1.426e-07  9.096e-08  3.850e-01  1.691e-07 -6.148e-03  3.565e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  2.900e+01 
   4.508e-08  1.072e-07  3.850e-01  1.163e-07  4.698e-03 -1.941e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.000e+01 
  -2.389e-07 -2.489e-08  3.850e-01  2.402e-07 -1.000e-03  7.262e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.100e+01 
   2.431e-09 -3.025e-09  3.850e-01  3.881e-09 -7.377e-04 -5.555e-04  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.200e+01 
   1.333e-07 -1.961e-08  3.850e-01  1.348e-07  5.139e-03  1.491e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.300e+01 
  -2.493e-08  6.390e-08  3.850e-01  6.859e-08 -2.772e-03  2.642e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.400e+01 
  -1.247e-07 -1.589e-07  3.850e-01  2.020e-07 -1.578e-03 -6.342e-03  6.953e-01  1.391e+00  2.710e-09  9.110e-31  1.602e-19  1.000e+00  0.000e+00  3.500e+01 
